algorithm,seed,phase,attack_type,train_episodes,test_episodes,total_timesteps,training_time_sec,fps,episodes,reward_total_mean,reward_total_std,reward_total_ci95,reward_mean_per_step_mean,reward_mean_per_step_std,reward_mean_per_step_ci95,attack_suppression_rate_mean,attack_suppression_rate_std,attack_suppression_rate_ci95,legitimate_preservation_rate_mean,legitimate_preservation_rate_std,legitimate_preservation_rate_ci95,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_ci95,false_negative_rate_mean,false_negative_rate_std,false_negative_rate_ci95,service_availability_mean_mean,service_availability_mean_std,service_availability_mean_ci95,mitigation_delay_ms_mean_mean,mitigation_delay_ms_mean_std,mitigation_delay_ms_mean_ci95,attack_intensity_observed_mean_mean,attack_intensity_observed_mean_std,attack_intensity_observed_mean_ci95,model_path
TD3,123,Extended Phase,bursty_ddos,650,30,5200,244.477,21.27,30,78133.72878550383,257.543671520993,92.1608192440358,651.1144065458651,2.146197262674948,0.768006827033634,0.7187662352933549,0.0033086679154379845,0.001183991607684933,0.8883879149272557,0.0012530183503386392,0.00044838685809294403,0.11161208507274441,0.0012530183503386355,0.0004483868580929427,0.2812337647066451,0.003308667915437989,0.0011839916076849348,0.8450639545797876,0.0021945414046000665,0.000785306556043305,140.96216714519147,1.6166575004452588,0.5785134567591405,0.689485024693476,0.01109665303489783,0.003970886290947512,./results_revised_5h\td3_Extended_Phase_seed_123.zip
Baseline,123,Extended Phase,bursty_ddos,0,30,0,0.0,0.0,30,78133.72878550383,257.543671520993,92.1608192440358,651.1144065458651,2.146197262674948,0.768006827033634,0.7187662352933549,0.0033086679154379845,0.001183991607684933,0.8883879149272557,0.0012530183503386392,0.00044838685809294403,0.11161208507274441,0.0012530183503386355,0.0004483868580929427,0.2812337647066451,0.003308667915437989,0.0011839916076849348,0.8450639545797876,0.0021945414046000665,0.000785306556043305,140.96216714519147,1.6166575004452588,0.5785134567591405,0.689485024693476,0.01109665303489783,0.003970886290947512,
PPO,123,Pre-Final Phase,legitimate_attack_overlap,900,35,7200,288.741,24.936,35,87638.44905411832,275.4801712531606,91.26670962055603,625.9889218151307,1.9677155089511489,0.6519050687182579,0.7270485707232927,0.0029537280314390507,0.0009785714787279869,0.8695418104340471,0.0012690542717978728,0.0004204382739782176,0.13045818956595284,0.0012690542717978682,0.00042043827397821607,0.27295142927670735,0.0029537280314390567,0.0009785714787279888,0.8180079784298641,0.0020500234219104274,0.0006791737187897185,155.69760785423517,1.4048711664407625,0.4654344747158271,0.8385598240014026,0.010250361600678933,0.0033959495939732865,./results_revised_5h\ppo_Pre-Final_Phase_seed_123.zip
A2C,123,Pre-Final Phase,legitimate_attack_overlap,900,35,7200,284.679,25.292,35,66512.10803387132,385.96181079999,127.86932849165105,475.0864859562236,2.756870077142788,0.9133523463689367,0.41900914930381405,0.002590194324642725,0.0008581325915858187,0.984775646192543,0.0010801766120357849,0.0003578630169319489,0.015224353807457002,0.001080176612035781,0.00035786301693194753,0.5809908506961861,0.002590194324642731,0.0008581325915858205,0.6800334324832106,0.0036909358974113182,0.0012228087896299373,291.0690364256638,1.404871166440764,0.46543447471582766,0.8385598240014026,0.010250361600678933,0.0033959495939732865,./results_revised_5h\a2c_Pre-Final_Phase_seed_123.zip
DQN,123,Pre-Final Phase,legitimate_attack_overlap,900,35,7200,305.843,23.542,35,87638.44905411832,275.4801712531606,91.26670962055603,625.9889218151307,1.9677155089511489,0.6519050687182579,0.7270485707232927,0.0029537280314390507,0.0009785714787279869,0.8695418104340471,0.0012690542717978728,0.0004204382739782176,0.13045818956595284,0.0012690542717978682,0.00042043827397821607,0.27295142927670735,0.0029537280314390567,0.0009785714787279888,0.8180079784298641,0.0020500234219104274,0.0006791737187897185,155.69760785423517,1.4048711664407625,0.4654344747158271,0.8385598240014026,0.010250361600678933,0.0033959495939732865,./results_revised_5h\dqn_Pre-Final_Phase_seed_123.zip
SAC,123,Pre-Final Phase,legitimate_attack_overlap,900,35,7200,341.917,21.058,35,97275.32289836778,278.41461455587745,92.23889205963593,694.8237349883412,1.9886758182562623,0.6588492289973977,0.8515186073382038,0.002698560544464177,0.0008940343709121892,0.8896154702772315,0.0012813634264207817,0.00042451630266366935,0.11038452972276852,0.0012813634264207741,0.00042451630266366686,0.14848139266179622,0.0026985605444641643,0.0008940343709121851,0.8802845874739695,0.0018526746098202602,0.0006137919650138981,258.51038497441755,1.9965710652524458,0.6614649280210528,0.8385598240014026,0.010250361600678933,0.0033959495939732865,./results_revised_5h\sac_Pre-Final_Phase_seed_123.zip
TD3,123,Pre-Final Phase,legitimate_attack_overlap,900,35,7200,339.133,21.231,35,87638.44905411832,275.4801712531606,91.26670962055603,625.9889218151307,1.9677155089511489,0.6519050687182579,0.7270485707232927,0.0029537280314390507,0.0009785714787279869,0.8695418104340471,0.0012690542717978728,0.0004204382739782176,0.13045818956595284,0.0012690542717978682,0.00042043827397821607,0.27295142927670735,0.0029537280314390567,0.0009785714787279888,0.8180079784298641,0.0020500234219104274,0.0006791737187897185,155.69760785423517,1.4048711664407625,0.4654344747158271,0.8385598240014026,0.010250361600678933,0.0033959495939732865,./results_revised_5h\td3_Pre-Final_Phase_seed_123.zip
Baseline,123,Pre-Final Phase,legitimate_attack_overlap,0,35,0,0.0,0.0,35,87638.44905411832,275.4801712531606,91.26670962055603,625.9889218151307,1.9677155089511489,0.6519050687182579,0.7270485707232927,0.0029537280314390507,0.0009785714787279869,0.8695418104340471,0.0012690542717978728,0.0004204382739782176,0.13045818956595284,0.0012690542717978682,0.00042043827397821607,0.27295142927670735,0.0029537280314390567,0.0009785714787279888,0.8180079784298641,0.0020500234219104274,0.0006791737187897185,155.69760785423517,1.4048711664407625,0.4654344747158271,0.8385598240014026,0.010250361600678933,0.0033959495939732865,
PPO,123,Final Phase,high_intensity_adaptive_ddos,1250,40,10000,396.779,25.203,40,110563.65643759674,284.97377891359315,88.3142890496374,691.0228527349798,1.781086118209959,0.5519643065602343,0.8601318564859664,0.0021993739203762298,0.0006815930394467445,0.8971233822034318,0.001245877004173289,0.00038610128372624044,0.10287661779656827,0.0012458770041732813,0.000386101283726238,0.1398681435140336,0.0021993739203762246,0.0006815930394467428,0.8763525552262328,0.001873240925445756,0.000580523377203725,274.0564412992619,1.6074727249356624,0.4981609585646154,0.9576778714074449,0.005026416367378196,0.001557702570547947,./results_revised_5h\ppo_Final_Phase_seed_123.zip
A2C,123,Final Phase,high_intensity_adaptive_ddos,1250,40,10000,422.443,23.672,40,73643.3995074362,315.85708493533957,97.8851247426992,460.27124692147635,1.9741067808458697,0.6117820296418691,0.43452794167516656,0.0021506561507720298,0.0006664952462284306,0.985382087390714,0.0010210401231491792,0.00031642361241388157,0.01461791260928617,0.0010210401231491768,0.0003164236124138808,0.5654720583248334,0.002150656150772031,0.000666495246228431,0.6463419947622013,0.002079788358033851,0.0006445330897238947,290.93331801629404,1.3695246996332235,0.4244201015444973,0.9576778714074449,0.005026416367378196,0.001557702570547947,./results_revised_5h\a2c_Final_Phase_seed_123.zip
